Easting,Northing,Elevation,Code,source,Point_ID
641855.088,4241292.209,4.582,BANKBED,Nichols 2015,771_770_stk41
641854.846,4241292.439,4.576,BANKBED,Nichols 2015,771_770_stk42
641854.654,4241292.642,4.588,BANKBED,Nichols 2015,771_770_stk43
641854.453,4241292.906,4.571,BANKBED,Nichols 2015,771_770_stk44
641854.257,4241293.122,4.584,BANKBED,Nichols 2015,771_770_stk45
641854.045,4241293.323,4.56,BANKBED,Nichols 2015,771_770_stk46
641853.822,4241293.643,4.559,BANKBED,Nichols 2015,771_770_stk47
641853.564,4241293.920,4.542,BANKBED,Nichols 2015,771_770_stk48
641853.347,4241294.155,4.538,BANKBED,Nichols 2015,771_770_stk49
641853.081,4241294.458,4.532,BANKBED,Nichols 2015,771_770_stk50
641852.862,4241294.733,4.528,BANKBED,Nichols 2015,771_770_stk51
641852.581,4241294.998,4.531,BANKBED,Nichols 2015,771_770_stk52
641852.337,4241295.213,4.515,BANKBED,Nichols 2015,771_770_stk53
641852.115,4241295.531,4.531,BANKBED,Nichols 2015,771_770_stk54
641851.885,4241295.749,4.561,BANKBED,Nichols 2015,771_770_stk55
641851.648,4241295.971,4.57,BANKBED,Nichols 2015,771_770_stk56
641851.403,4241296.219,4.567,BANKBED,Nichols 2015,771_770_stk57
641851.183,4241296.452,4.565,BANKBED,Nichols 2015,771_770_stk58
641850.997,4241296.746,4.558,BANKBED,Nichols 2015,771_770_stk59
641850.741,4241297.006,4.541,BANKBED,Nichols 2015,771_770_stk60
641850.543,4241297.228,4.534,BANKBED,Nichols 2015,771_770_stk61
641850.394,4241297.402,4.456,BANKBED,Nichols 2015,771_770_stk62
641850.276,4241297.554,4.38,BANKBED,Nichols 2015,771_770_stk63
641850.081,4241297.756,4.335,BANKBED,Nichols 2015,771_770_stk64
641849.933,4241297.896,4.313,BANKBED,Nichols 2015,771_770_stk65
641849.749,4241298.043,4.336,BANKBED,Nichols 2015,771_770_stk66
641849.594,4241298.192,4.332,BANKBED,Nichols 2015,771_770_stk67
641849.441,4241298.432,4.33,BANKBED,Nichols 2015,771_770_stk68
641849.294,4241298.636,4.353,BANKBED,Nichols 2015,771_770_stk69
641849.064,4241298.798,4.343,BANKBED,Nichols 2015,771_770_stk70
641848.901,4241298.995,4.378,BANKBED,Nichols 2015,771_770_stk71
641848.735,4241299.170,4.374,BANKBED,Nichols 2015,771_770_stk72
641848.563,4241299.407,4.413,BANKBED,Nichols 2015,771_770_stk73
641848.404,4241299.545,4.473,BANKBED,Nichols 2015,771_770_stk74
641848.223,4241299.699,4.548,BANKBED,Nichols 2015,771_770_stk75
641848.138,4241299.903,4.668,BANKBED,Nichols 2015,771_770_stk76
